time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-07-24 00:00:00,17.6,59,0.0,8.6
2026-07-24 01:00:00,16.5,68,0.0,11.2
2026-07-24 02:00:00,15.3,74,0.0,10.1
2026-07-24 03:00:00,14.6,72,0.0,9.7
2026-07-24 04:00:00,14.2,77,0.0,7.9
2026-07-24 05:00:00,13.3,80,0.0,8.3
2026-07-24 06:00:00,12.7,80,0.0,7.9
2026-07-24 07:00:00,13.3,79,0.0,5.0
2026-07-24 08:00:00,14.9,71,0.0,5.8
2026-07-24 09:00:00,16.8,61,0.0,7.6
2026-07-24 10:00:00,18.8,55,0.0,4.3
2026-07-24 11:00:00,20.2,52,0.0,4.7
2026-07-24 12:00:00,21.5,45,0.0,4.0
2026-07-24 13:00:00,23.4,40,0.0,6.5
2026-07-24 14:00:00,24.5,38,0.0,6.1
2026-07-24 15:00:00,25.5,36,0.0,5.4
2026-07-24 16:00:00,26.1,35,0.0,5.0
2026-07-24 17:00:00,26.3,34,0.0,2.9
2026-07-24 18:00:00,26.3,34,0.0,4.0
2026-07-24 19:00:00,26.1,35,0.0,5.0
2026-07-24 20:00:00,25.3,37,0.0,9.0
2026-07-24 21:00:00,24.5,38,0.0,6.1
2026-07-24 22:00:00,23.0,45,0.0,10.1
2026-07-24 23:00:00,21.5,52,0.0,11.2
2026-07-25 00:00:00,20.8,54,0.0,10.8
2026-07-25 01:00:00,19.8,56,0.0,9.4
2026-07-25 02:00:00,18.9,59,0.0,6.5
2026-07-25 03:00:00,18.0,63,0.0,9.0
2026-07-25 04:00:00,17.4,65,0.0,9.0
2026-07-25 05:00:00,16.8,67,0.0,5.4
2026-07-25 06:00:00,16.3,69,0.0,5.8
2026-07-25 07:00:00,16.6,67,0.0,6.1
2026-07-25 08:00:00,17.8,62,0.0,7.6
2026-07-25 09:00:00,19.9,54,0.0,6.8
2026-07-25 10:00:00,22.1,47,0.0,6.1
2026-07-25 11:00:00,23.9,40,0.0,5.0
2026-07-25 12:00:00,25.8,36,0.0,7.9
2026-07-25 13:00:00,27.3,33,0.0,9.0
2026-07-25 14:00:00,28.3,34,0.0,10.1
2026-07-25 15:00:00,28.6,34,0.0,10.1
2026-07-25 16:00:00,28.9,33,0.0,9.7
2026-07-25 17:00:00,29.0,32,0.0,9.4
2026-07-25 18:00:00,28.9,32,0.0,8.6
2026-07-25 19:00:00,28.4,34,0.0,9.7
2026-07-25 20:00:00,27.4,35,0.0,10.8
2026-07-25 21:00:00,25.8,42,0.0,12.6
2026-07-25 22:00:00,24.6,46,0.0,7.6
2026-07-25 23:00:00,23.6,49,0.0,5.4
