time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-07-30 00:00:00,27.2,31,0.0,1.4
2026-07-30 01:00:00,25.4,36,0.0,2.5
2026-07-30 02:00:00,25.1,32,0.0,1.8
2026-07-30 03:00:00,24.7,37,0.0,7.2
2026-07-30 04:00:00,23.6,37,0.0,7.9
2026-07-30 05:00:00,23.5,34,0.0,6.8
2026-07-30 06:00:00,22.8,38,0.0,9.4
2026-07-30 07:00:00,22.3,37,0.0,7.2
2026-07-30 08:00:00,24.0,31,0.0,14.0
2026-07-30 09:00:00,26.0,30,0.0,10.4
2026-07-30 10:00:00,27.8,29,0.0,12.6
2026-07-30 11:00:00,31.0,25,0.0,15.1
2026-07-30 12:00:00,34.8,21,0.0,19.1
2026-07-30 13:00:00,34.7,20,0.0,28.1
2026-07-30 14:00:00,28.8,31,0.0,39.2
2026-07-30 15:00:00,25.5,44,0.0,22.0
2026-07-30 16:00:00,23.0,68,0.3,4.7
2026-07-30 17:00:00,23.3,65,0.0,6.8
2026-07-30 18:00:00,24.7,60,0.0,7.9
2026-07-30 19:00:00,26.1,51,0.0,10.1
2026-07-30 20:00:00,25.6,53,0.0,7.6
2026-07-30 21:00:00,24.9,57,0.0,6.1
2026-07-30 22:00:00,24.0,61,0.0,5.8
2026-07-30 23:00:00,23.1,65,0.0,6.8
2026-07-31 00:00:00,22.6,67,0.0,5.8
2026-07-31 01:00:00,22.2,73,0.0,2.5
2026-07-31 02:00:00,22.0,72,0.0,3.6
2026-07-31 03:00:00,21.6,73,0.0,4.3
2026-07-31 04:00:00,20.9,76,0.0,7.2
2026-07-31 05:00:00,20.5,78,0.0,7.2
2026-07-31 06:00:00,20.5,76,0.0,6.8
2026-07-31 07:00:00,21.5,71,0.0,7.2
2026-07-31 08:00:00,22.4,67,0.0,7.2
2026-07-31 09:00:00,23.4,62,0.0,5.8
2026-07-31 10:00:00,25.1,54,0.0,4.7
2026-07-31 11:00:00,27.3,46,0.0,2.9
2026-07-31 12:00:00,29.0,41,0.0,4.7
2026-07-31 13:00:00,29.9,39,0.0,4.0
2026-07-31 14:00:00,29.7,39,0.0,7.6
2026-07-31 15:00:00,31.0,37,0.0,11.2
2026-07-31 16:00:00,28.4,45,0.0,13.0
2026-07-31 17:00:00,28.7,45,0.0,11.9
2026-07-31 18:00:00,28.4,43,0.0,16.2
2026-07-31 19:00:00,28.0,44,0.0,10.1
2026-07-31 20:00:00,27.7,43,0.0,11.2
2026-07-31 21:00:00,26.9,46,0.0,7.6
2026-07-31 22:00:00,25.6,51,0.0,9.0
2026-07-31 23:00:00,24.4,64,0.0,3.6
