2026-08-04 15:23:03,513 | INFO | __main__ | Pipeline started.
2026-08-04 15:23:04,012 | INFO | __main__ | Raw JSON saved to: data/raw/weather_raw_20260804_152304.json
2026-08-04 15:23:04,019 | INFO | __main__ | Validation passed.
2026-08-04 15:23:04,091 | INFO | src.load | Loaded or updated 48 rows in PostgreSQL.
2026-08-04 15:23:04,095 | INFO | __main__ | Processed CSV saved to: data/processed/weather_data_20260804_152304.csv
2026-08-04 15:23:04,103 | INFO | __main__ | Pipeline completed successfully.
2026-08-04 15:29:55,220 | INFO | __main__ | Pipeline started.
2026-08-04 15:30:34,036 | INFO | __main__ | Pipeline started.
2026-08-04 15:30:34,532 | INFO | __main__ | Raw JSON saved to: data/raw/weather_raw_20260804_153034.json
2026-08-04 15:30:34,538 | INFO | __main__ | Validation passed.
2026-08-04 15:30:34,609 | INFO | src.load | Loaded or updated 48 rows in PostgreSQL.
2026-08-04 15:30:34,612 | INFO | __main__ | Processed CSV saved to: data/processed/weather_data_20260804_153034.csv
2026-08-04 15:30:34,618 | INFO | __main__ | Pipeline completed successfully.
2026-08-04 16:08:09,381 | INFO | __main__ | Pipeline started.
2026-08-04 16:08:09,901 | INFO | __main__ | Raw JSON saved to: data/raw/weather_raw_20260804_160809.json
2026-08-04 16:08:09,947 | INFO | __main__ | Validation passed.
2026-08-04 16:08:10,058 | INFO | src.load | Loaded or updated 48 rows in PostgreSQL.
2026-08-04 16:08:10,063 | INFO | __main__ | Processed CSV saved to: data/processed/weather_data_20260804_160809.csv
2026-08-04 16:08:10,066 | INFO | __main__ | Pipeline completed successfully.
2026-08-04 15:26:02,564 | INFO | __main__ | Pipeline started.
2026-08-04 15:26:02,936 | INFO | __main__ | Raw JSON saved to: data/raw/weather_raw_20260804_152602.json
2026-08-04 15:26:02,961 | INFO | __main__ | Validation passed.
2026-08-04 15:54:30,187 | INFO | __main__ | Pipeline started.
2026-08-04 15:54:30,537 | INFO | __main__ | Raw JSON saved to: data/raw/weather_raw_20260804_155430.json
2026-08-04 15:54:30,648 | INFO | __main__ | Validation passed.
2026-08-04 15:54:30,785 | INFO | src.load | Loaded or updated 48 rows in PostgreSQL.
2026-08-04 15:54:30,797 | INFO | __main__ | Processed CSV saved to: data/processed/weather_data_20260804_155430.csv
2026-08-04 15:54:30,806 | INFO | __main__ | Pipeline completed successfully.
2026-08-04 16:15:15,786 | INFO | __main__ | Pipeline started.
2026-08-04 16:15:15,946 | INFO | __main__ | Raw JSON saved to: data/raw/weather_raw_20260804_161515.json
2026-08-04 16:15:15,976 | INFO | __main__ | Validation passed.
2026-08-04 16:15:16,079 | INFO | src.load | Loaded or updated 48 rows in PostgreSQL.
2026-08-04 16:15:16,088 | INFO | __main__ | Processed CSV saved to: data/processed/weather_data_20260804_161515.csv
2026-08-04 16:15:16,094 | INFO | __main__ | Pipeline completed successfully.
